state,planning_priority_tier,analysis_confidence,risk_level,trust_desert_risk_index,total_facilities,avg_trust_score,high_risk_facilities,high_risk_percent,do_not_recommend_facilities,do_not_recommend_percent,ready_facilities,ready_percent,unsupported_high_acuity_count,unsupported_high_acuity_percent,primary_risk_driver,recommended_action
Andhra Pradesh,Tier 1 - Immediate Verification Priority,High,High Trust Desert,62.49,280,44.04,125,44.64,194,69.29,29,10.36,54,54.55,Large share of facilities should not be recommended without human review,"Prioritize manual verification and evidence enrichment in Andhra Pradesh. Focus first on facilities marked high risk, high-acuity claims without support, and records not ready for recommendation."
Madhya Pradesh,Tier 1 - Immediate Verification Priority,High,High Trust Desert,62.19,377,43.23,173,45.89,247,65.52,40,10.61,65,56.52,Large share of facilities should not be recommended without human review,"Prioritize manual verification and evidence enrichment in Madhya Pradesh. Focus first on facilities marked high risk, high-acuity claims without support, and records not ready for recommendation."
Bihar,Tier 1 - Immediate Verification Priority,High,High Trust Desert,61.61,440,43.15,193,43.86,299,67.95,49,11.14,80,51.61,Large share of facilities should not be recommended without human review,"Prioritize manual verification and evidence enrichment in Bihar. Focus first on facilities marked high risk, high-acuity claims without support, and records not ready for recommendation."
Punjab,Tier 1 - Immediate Verification Priority,High,High Trust Desert,60.74,414,45.32,175,42.27,265,64.01,47,11.35,79,61.24,High-acuity claims often lack supporting evidence,"Prioritize manual verification and evidence enrichment in Punjab. Focus first on facilities marked high risk, high-acuity claims without support, and records not ready for recommendation."
Uttar Pradesh,Tier 1 - Immediate Verification Priority,High,High Trust Desert,59.79,1086,45.61,446,41.07,697,64.18,110,10.13,182,52.91,High-acuity claims often lack supporting evidence,"Prioritize manual verification and evidence enrichment in Uttar Pradesh. Focus first on facilities marked high risk, high-acuity claims without support, and records not ready for recommendation."
Rajasthan,Tier 1 - Immediate Verification Priority,High,High Trust Desert,59.02,504,45.95,211,41.87,324,64.29,63,12.5,76,47.8,Mixed trust and verification gaps,"Prioritize manual verification and evidence enrichment in Rajasthan. Focus first on facilities marked high risk, high-acuity claims without support, and records not ready for recommendation."
West Bengal,Tier 1 - Immediate Verification Priority,High,High Trust Desert,58.67,504,45.72,202,40.08,309,61.31,43,8.53,61,48.8,Very low share of facilities are ready for recommendation,"Prioritize manual verification and evidence enrichment in West Bengal. Focus first on facilities marked high risk, high-acuity claims without support, and records not ready for recommendation."
Assam,Tier 1 - Immediate Verification Priority,High,High Trust Desert,58.22,131,47.26,52,39.69,83,63.36,16,12.21,17,50.0,High-acuity claims often lack supporting evidence,"Prioritize manual verification and evidence enrichment in Assam. Focus first on facilities marked high risk, high-acuity claims without support, and records not ready for recommendation."
Jharkhand,Tier 1 - Immediate Verification Priority,High,High Trust Desert,58.09,140,47.7,56,40.0,87,62.14,16,11.43,14,50.0,High-acuity claims often lack supporting evidence,"Prioritize manual verification and evidence enrichment in Jharkhand. Focus first on facilities marked high risk, high-acuity claims without support, and records not ready for recommendation."
Karnataka,Tier 1 - Immediate Verification Priority,High,High Trust Desert,57.7,465,47.49,178,38.28,294,63.23,56,12.04,79,49.38,Mixed trust and verification gaps,"Prioritize manual verification and evidence enrichment in Karnataka. Focus first on facilities marked high risk, high-acuity claims without support, and records not ready for recommendation."
Odisha,Tier 1 - Immediate Verification Priority,High,High Trust Desert,57.52,109,48.9,39,35.78,69,63.3,14,12.84,17,58.62,High-acuity claims often lack supporting evidence,"Prioritize manual verification and evidence enrichment in Odisha. Focus first on facilities marked high risk, high-acuity claims without support, and records not ready for recommendation."
Uttarakhand,Tier 1 - Immediate Verification Priority,High,High Trust Desert,57.5,137,46.93,56,40.88,85,62.04,18,13.14,18,43.9,Mixed trust and verification gaps,"Prioritize manual verification and evidence enrichment in Uttarakhand. Focus first on facilities marked high risk, high-acuity claims without support, and records not ready for recommendation."
Gujarat,Tier 1 - Immediate Verification Priority,High,High Trust Desert,57.15,853,47.07,335,39.27,508,59.55,107,12.54,165,50.46,High-acuity claims often lack supporting evidence,"Prioritize manual verification and evidence enrichment in Gujarat. Focus first on facilities marked high risk, high-acuity claims without support, and records not ready for recommendation."
Maharashtra,Tier 1 - Immediate Verification Priority,High,High Trust Desert,56.91,1578,47.75,617,39.1,938,59.44,209,13.24,282,51.27,High-acuity claims often lack supporting evidence,"Prioritize manual verification and evidence enrichment in Maharashtra. Focus first on facilities marked high risk, high-acuity claims without support, and records not ready for recommendation."
Haryana,Tier 1 - Immediate Verification Priority,High,High Trust Desert,56.63,396,46.89,166,41.92,233,58.84,57,14.39,60,42.55,Mixed trust and verification gaps,"Prioritize manual verification and evidence enrichment in Haryana. Focus first on facilities marked high risk, high-acuity claims without support, and records not ready for recommendation."
Kerala,Tier 1 - Immediate Verification Priority,High,High Trust Desert,56.07,620,48.72,240,38.71,367,59.19,86,13.87,82,47.4,Mixed trust and verification gaps,"Prioritize manual verification and evidence enrichment in Kerala. Focus first on facilities marked high risk, high-acuity claims without support, and records not ready for recommendation."
Telangana,Tier 1 - Immediate Verification Priority,High,High Trust Desert,56.0,437,48.65,161,36.84,265,60.64,60,13.73,73,48.34,Mixed trust and verification gaps,"Prioritize manual verification and evidence enrichment in Telangana. Focus first on facilities marked high risk, high-acuity claims without support, and records not ready for recommendation."
Tamil Nadu,Tier 1 - Immediate Verification Priority,High,High Trust Desert,55.53,655,48.26,258,39.39,375,57.25,110,16.79,104,50.0,High-acuity claims often lack supporting evidence,"Prioritize manual verification and evidence enrichment in Tamil Nadu. Focus first on facilities marked high risk, high-acuity claims without support, and records not ready for recommendation."
Chhattisgarh,Tier 1 - Immediate Verification Priority,High,High Trust Desert,55.52,120,49.56,38,31.67,72,60.0,15,12.5,25,59.52,High-acuity claims often lack supporting evidence,"Prioritize manual verification and evidence enrichment in Chhattisgarh. Focus first on facilities marked high risk, high-acuity claims without support, and records not ready for recommendation."
Delhi,Tier 1 - Immediate Verification Priority,High,High Trust Desert,55.21,458,49.58,164,35.81,266,58.08,66,14.41,79,52.67,High-acuity claims often lack supporting evidence,"Prioritize manual verification and evidence enrichment in Delhi. Focus first on facilities marked high risk, high-acuity claims without support, and records not ready for recommendation."
Tripura,Tier 3 - Targeted Review Priority,Medium,High Trust Desert,65.32,34,42.85,18,52.94,23,67.65,3,8.82,4,57.14,Large share of facilities should not be recommended without human review,Run targeted review in Tripura because the risk score is high but the sample size is moderate.
Puducherry,Tier 3 - Targeted Review Priority,Medium,High Trust Desert,63.18,31,42.26,15,48.39,21,67.74,3,9.68,3,50.0,Large share of facilities should not be recommended without human review,Run targeted review in Puducherry because the risk score is high but the sample size is moderate.
Goa,Tier 3 - Targeted Review Priority,Medium,High Trust Desert,56.87,32,50.47,10,31.25,21,65.63,4,12.5,8,61.54,Large share of facilities should not be recommended without human review,Run targeted review in Goa because the risk score is high but the sample size is moderate.
Jammu and Kashmir,Tier 3 - Targeted Review Priority,Medium,High Trust Desert,55.43,84,49.15,34,40.48,47,55.95,15,17.86,11,52.38,High-acuity claims often lack supporting evidence,Run targeted review in Jammu and Kashmir because the risk score is high but the sample size is moderate.
Nagaland,Tier 4 - Interpret With Caution,Low - small sample,Critical Trust Desert,75.45,3,30.33,2,66.67,3,100.0,0,0.0,0,0.0,Large share of facilities should not be recommended without human review,"Treat Nagaland as a possible risk area, but gather more records before making strong conclusions."
Mizoram,Tier 4 - Interpret With Caution,Low - small sample,Critical Trust Desert,74.26,5,31.6,4,80.0,4,80.0,0,0.0,0,0.0,Large share of facilities should not be recommended without human review,"Treat Mizoram as a possible risk area, but gather more records before making strong conclusions."
Manipur,Tier 4 - Interpret With Caution,Low - small sample,High Trust Desert,69.06,18,39.61,10,55.56,12,66.67,3,16.67,2,100.0,Large share of facilities should not be recommended without human review,"Treat Manipur as a possible risk area, but gather more records before making strong conclusions."
Dadra and Nagar Haveli and Daman and Diu,Lower Priority,Low - small sample,Moderate Trust Desert,51.6,1,56.0,0,0.0,1,100.0,0,0.0,0,0.0,Large share of facilities should not be recommended without human review,Maintain routine monitoring for Dadra and Nagar Haveli and Daman and Diu and update evidence as new facility data becomes available.
Ladakh,Lower Priority,Low - small sample,Moderate Trust Desert,51.15,1,59.0,0,0.0,1,100.0,0,0.0,0,0.0,Large share of facilities should not be recommended without human review,Maintain routine monitoring for Ladakh and update evidence as new facility data becomes available.
Meghalaya,Lower Priority,Low - small sample,Moderate Trust Desert,50.6,4,46.0,2,50.0,2,50.0,1,25.0,0,0.0,High proportion of facilities have insufficient evidence,Maintain routine monitoring for Meghalaya and update evidence as new facility data becomes available.
Himachal Pradesh,Lower Priority,Medium,Moderate Trust Desert,50.23,48,50.4,17,35.42,24,50.0,8,16.67,3,30.0,Mixed trust and verification gaps,Maintain routine monitoring for Himachal Pradesh and update evidence as new facility data becomes available.
Chandigarh,Lower Priority,Low - small sample,Moderate Trust Desert,49.91,28,53.43,11,39.29,14,50.0,7,25.0,4,36.36,Mixed trust and verification gaps,Maintain routine monitoring for Chandigarh and update evidence as new facility data becomes available.
Sikkim,Lower Priority,Low - small sample,Lower Relative Risk,31.77,5,68.2,0,0.0,3,60.0,2,40.0,0,0.0,Mixed trust and verification gaps,Maintain routine monitoring for Sikkim and update evidence as new facility data becomes available.
Arunachal Pradesh,Lower Priority,Low - small sample,Lower Relative Risk,13.08,2,79.5,0,0.0,0,0.0,1,50.0,0,0.0,Mixed trust and verification gaps,Maintain routine monitoring for Arunachal Pradesh and update evidence as new facility data becomes available.
